protein,mll_full,mll_joint,lr
P03813-(YGEA)_sample_4,2.3413015366825727,1.5716755025010405,1.5392520683630644
P03813-(YGEA)_sample_5,2.0595466304416137,1.4170604017555244,1.2849724573721786
P03813-(YGEA)_sample_6,2.2914199123794603,1.4289890405231431,1.7248617437126343
P03813-(YGEA)_sample_7,2.1927470242944818,1.3205028437604487,1.7444883610680662
P03813-(YGEA)_sample_8,1.9294316279722419,1.3527231462295337,1.1534169634854163
P03813-(YGEA)_sample_9,2.0018483414765953,1.3779430459753201,1.2478105910025503
P03813-(YGEA)_sample_10,1.7299740892926807,1.2595192408528268,0.9409096968797077
P04425-(GSHB)_sample_1,2.252049412258925,1.7204180122515917,1.0632628000146669
P04425-(GSHB)_sample_2,1.837650774733604,1.5122501000822235,0.6508013493027609
P04425-(GSHB)_sample_3,2.2844166160211516,1.6667310968208482,1.235371038400607
P04425-(GSHB)_sample_4,2.2388328381872658,1.6885933009844971,1.1004790744055373
P04425-(GSHB)_sample_5,2.364588800534663,1.6853107966429666,1.3585560077833927
P04425-(GSHB)_sample_6,2.3777640912174967,1.7398973848487675,1.2757334127374582
P04425-(GSHB)_sample_7,2.1500508017577706,1.636382731596512,1.0273361403225172
P04425-(GSHB)_sample_8,2.582824364654204,1.8645476742193674,1.4365533808696735
P04425-(GSHB)_sample_9,1.8902346258680494,1.5311038354760693,0.7182615807839601
P04425-(GSHB)_sample_10,1.990574822444394,1.633151587984263,0.7148464689202618
P04982-(RBSD)_sample_1,2.447580615432284,1.5396780594292059,1.8158051120061565
P04982-(RBSD)_sample_2,2.4679083264965347,1.604662234034566,1.7264921849239374
P04982-(RBSD)_sample_3,2.3817273873801583,1.5684143713952126,1.6266260319698915
P04982-(RBSD)_sample_4,2.576124528960157,1.635405901318515,1.8814372552832843
P04982-(RBSD)_sample_5,2.285281559606382,1.517153465818835,1.536256187575094
P04982-(RBSD)_sample_6,2.148440098010303,1.4611005129097667,1.3746791702010723
